x_mm,z_mm,initial_top_y_mm,u2_mm,full_thickness_mm,full_thickness_um
148.0,0.0,0.0825,-0.011837937,0.14132413268089294,141.32413268089294
148.5,0.0,0.0825,-0.011839271,0.14132146537303925,141.32146537303925
149.0,0.0,0.0825,-0.011840614,0.14131878316402435,141.31878316402435
149.5,0.0,0.0825,-0.0118419565,0.14131608605384827,141.31608605384827
150.0,0.0,0.0825,-0.01184331,0.14131338894367218,141.31338894367218
150.5,0.0,0.0825,-0.011844662,0.1413106769323349,141.3106769323349
151.0,0.0,0.0825,-0.011846025,0.14130795001983643,141.30795001983643
151.5,0.0,0.0825,-0.011847386,0.14130523800849915,141.30523800849915
152.0,0.0,0.0825,-0.011848758,0.14130249619483948,141.30249619483948
152.5,0.0,0.0825,-0.01185013,0.1412997543811798,141.2997543811798
153.0,0.0,0.0825,-0.011851502,0.14129699766635895,141.29699766635895
153.5,0.0,0.0825,-0.011852883,0.14129424095153809,141.2942409515381
154.0,0.0,0.0825,-0.011854273,0.14129145443439484,141.29145443439484
154.5,0.0,0.0825,-0.011855664,0.14128868281841278,141.28868281841278
155.0,0.0,0.0825,-0.011857064,0.14128588140010834,141.28588140010834
155.5,0.0,0.0825,-0.011858464,0.1412830799818039,141.2830799818039
156.0,0.0,0.0825,-0.011859865,0.14128027856349945,141.28027856349945
156.5,0.0,0.0825,-0.011861275,0.1412774622440338,141.2774622440338
157.0,0.0,0.0825,-0.011862684,0.14127463102340698,141.27463102340698
157.5,0.0,0.0825,-0.011864103,0.14127179980278015,141.27179980278015
158.0,0.0,0.0825,-0.011865532,0.14126893877983093,141.26893877983093
158.5,0.0,0.0825,-0.011866952,0.1412661075592041,141.2661075592041
159.0,0.0,0.0825,-0.011868389,0.1412632316350937,141.2632316350937
159.5,0.0,0.0825,-0.011869819,0.14126037061214447,141.26037061214447
160.0,0.0,0.0825,-0.011871266,0.14125747978687286,141.25747978687286
160.5,0.0,0.0825,-0.011872705,0.14125460386276245,141.25460386276245
161.0,0.0,0.0825,-0.011874163,0.14125168323516846,141.25168323516846
161.5,0.0,0.0825,-0.011875611,0.14124879240989685,141.24879240989685
162.0,0.0,0.0825,-0.011877067,0.14124587178230286,141.24587178230286
162.5,0.0,0.0825,-0.011878535,0.14124293625354767,141.24293625354767
163.0,0.0,0.0825,-0.011880002,0.14124000072479248,141.24000072479248
163.5,0.0,0.0825,-0.011881479,0.1412370502948761,141.2370502948761
164.0,0.0,0.0825,-0.011882954,0.14123409986495972,141.23409986495972
164.5,0.0,0.0825,-0.011884431,0.14123114943504333,141.23114943504333
165.0,0.0,0.0825,-0.011885917,0.14122816920280457,141.22816920280457
165.5,0.0,0.0825,-0.011887413,0.1412251740694046,141.2251740694046
166.0,0.0,0.0825,-0.011888908,0.14122219383716583,141.22219383716583
166.5,0.0,0.0825,-0.011890404,0.14121919870376587,141.21919870376587
167.0,0.0,0.0825,-0.011891909,0.1412161886692047,141.2161886692047
167.5,0.0,0.0825,-0.011893414,0.14121317863464355,141.21317863464355
168.0,0.0,0.0825,-0.011894928,0.1412101536989212,141.2101536989212
168.5,0.0,0.0825,-0.011896443,0.14120712876319885,141.20712876319885
169.0,0.0,0.0825,-0.011897967,0.1412040740251541,141.2040740251541
169.5,0.0,0.0825,-0.011899491,0.14120101928710938,141.20101928710938
170.0,0.0,0.0825,-0.011901025,0.14119794964790344,141.19794964790344
170.5,0.0,0.0825,-0.011902559,0.1411948949098587,141.1948949098587
171.0,0.0,0.0825,-0.011904101,0.14119181036949158,141.19181036949158
171.5,0.0,0.0825,-0.011905645,0.14118871092796326,141.18871092796326
172.0,0.0,0.0825,-0.011907197,0.14118561148643494,141.18561148643494
172.5,0.0,0.0825,-0.01190875,0.14118251204490662,141.18251204490662
173.0,0.0,0.0825,-0.011910303,0.1411793977022171,141.1793977022171
173.5,0.0,0.0825,-0.011911865,0.1411762833595276,141.1762833595276
174.0,0.0,0.0825,-0.011913436,0.14117313921451569,141.1731392145157
