initial_x_mm,initial_z_mm,final_mid_x_mm,final_actual_thickness_um,final_vertical_thickness_um,final_pair_cpress_mpa
-27.5,-15.0,-27.47963523864746,150.00000918904914,149.99958872795105,0.0
-27.5,-10.0,-27.479631423950195,150.0001147388973,149.9996930360794,0.0
-27.5,-5.0,-27.479629516601562,150.0000712772041,149.99964833259583,0.0
-27.5,0.0,-27.479637145996094,150.00017061819864,149.99975264072418,0.0
-27.5,5.0,-27.479629516601562,150.00006506838974,149.99964833259583,0.0
-27.5,10.0,-27.479629516601562,150.00018303581834,149.99976754188538,0.0
-27.5,15.0,-27.479633331298828,150.0000216066822,149.99960362911224,0.0
-27.5,20.0,-27.479633331298828,150.0001892446278,149.99976754188538,0.0
-27.5,25.0,-27.479637145996094,149.99992226558896,149.9994993209839,0.0
-27.5,30.0,-27.479637145996094,150.0001085300848,149.9996930360794,0.0
-27.5,35.0,-27.47964859008789,149.99986017737228,149.9994397163391,0.0
-27.5,40.0,-27.47964096069336,150.0001085300848,149.9996930360794,0.0
-27.5,45.0,-27.47964859008789,149.99985396854922,149.9994397163391,0.0
