x0_mm,z0_mm,x_final_mid_mm,final_thickness_mm,min_thickness_during_rolling_mm,min_time_in_rolling_s,rebound_final_minus_min_mm,rebound_pct_of_min_compression,final_reduction_pct,min_reduction_pct,final_le_target_0p135,top_node,bottom_node
-1.00000000,30.00000000,-0.78331435,0.130402774,0.130402774,0.150000006,0.000000000,0.000000,13.064821,13.064821,1,36,162
-1.00000000,32.50000000,-0.78331459,0.130401880,0.130401880,0.150000006,0.000000000,0.000000,13.065417,13.065417,1,35,163
-1.00000000,35.00000000,-0.78331476,0.130400270,0.130400270,0.150000006,0.000000000,0.000000,13.066490,13.066490,1,34,164
-1.00000000,37.50000000,-0.78331560,0.130399242,0.130399242,0.150000006,0.000000000,0.000000,13.067175,13.067175,1,33,165
-1.00000000,40.00000000,-0.78331655,0.130398318,0.130398318,0.150000006,0.000000000,0.000000,13.067791,13.067791,1,32,166
-1.00000000,42.50000000,-0.78331715,0.130394623,0.130394623,0.150000006,0.000000000,0.000000,13.070256,13.070256,1,31,167
-1.00000000,44.99999619,-0.78331774,0.130390510,0.130390510,0.150000006,0.000000000,0.000000,13.072997,13.072997,1,30,168
-1.00000000,47.50000000,-0.78331816,0.130384102,0.130384102,0.150000006,0.000000000,0.000000,13.077268,13.077268,1,29,169
-1.00000000,50.00000000,-0.78331822,0.130381078,0.130381078,0.150000006,0.000000000,0.000000,13.079286,13.079286,1,1,8
-0.66666669,-50.00000000,-0.38785747,0.128543213,0.128543213,0.150000006,0.000000000,0.000000,14.304528,14.304528,1,828,831
-0.66666669,-47.50000000,-0.38785726,0.128546953,0.128546953,0.150000006,0.000000000,0.000000,14.302035,14.302035,1,6218,6296
-0.66666669,-44.99999619,-0.38785654,0.128553897,0.128553897,0.150000006,0.000000000,0.000000,14.297405,14.297405,1,6217,6295
-0.66666669,-42.50000000,-0.38785464,0.128561541,0.128561541,0.150000006,0.000000000,0.000000,14.292309,14.292309,1,6216,6294
-0.66666669,-40.00000000,-0.38785183,0.128564686,0.128564686,0.150000006,0.000000000,0.000000,14.290214,14.290214,1,6215,6293
-0.66666669,-37.50000000,-0.38784835,0.128565893,0.128565893,0.150000006,0.000000000,0.000000,14.289409,14.289409,1,6214,6292
-0.66666669,-35.00000000,-0.38784409,0.128566325,0.128566325,0.150000006,0.000000000,0.000000,14.289120,14.289120,1,6213,6291
-0.66666669,-32.50000000,-0.38784018,0.128566310,0.128566310,0.150000006,0.000000000,0.000000,14.289130,14.289130,1,6212,6290
-0.66666669,-30.00000000,-0.38783681,0.128566235,0.128566235,0.150000006,0.000000000,0.000000,14.289179,14.289179,1,6211,6289
-0.66666669,-27.50000191,-0.38783330,0.128567860,0.128567860,0.150000006,0.000000000,0.000000,14.288098,14.288098,1,6210,6288
-0.66666669,-25.00000000,-0.38782978,0.128569975,0.128569975,0.150000006,0.000000000,0.000000,14.286686,14.286686,1,6209,6287
